R,I_freq,K,epsilon,seed,expected,pre_mean_i,pre_outcome,post_invasion_mean_i,final_mean_i,final_outcome,recovered
3.0,0.8,8,0.05,1,COOP,0.0541,COOP,0.4846,0.0515,COOP,True
3.0,0.8,8,0.1,2,COOP,0.0509,COOP,0.4849,0.0545,COOP,True
3.0,0.8,8,0.2,3,COOP,0.0539,COOP,0.49,0.0521,COOP,True
3.0,0.8,5,0.1,6,COOP,0.055,COOP,0.4906,0.0591,COOP,True
3.0,0.8,3,0.1,7,COOP,0.1426,COOP,0.5555,0.0773,COOP,True
3.0,0.8,8,0.05,9,COOP,0.0523,COOP,0.4891,0.0521,COOP,True
3.0,0.8,5,0.2,10,COOP,0.0613,COOP,0.4957,0.0617,COOP,True
3.0,0.8,8,0.1,11,COOP,0.0519,COOP,0.4789,0.0526,COOP,True
3.0,0.8,8,0.2,12,COOP,0.0519,COOP,0.4853,0.0558,COOP,True
3.0,0.8,3,0.05,14,COOP,0.151,COOP,0.5545,0.0586,COOP,True
3.0,0.8,3,0.2,16,COOP,0.1098,COOP,0.5202,0.0844,COOP,True
3.0,0.5,8,0.1,17,COOP,0.0556,COOP,0.4861,0.0536,COOP,True
3.0,0.8,8,0.1,18,COOP,0.0568,COOP,0.492,0.0532,COOP,True
3.0,0.8,5,0.05,19,COOP,0.0527,COOP,0.4776,0.0522,COOP,True
3.0,0.2,8,0.2,21,COMP,2.9907,COMP,2.298,2.9861,COMP,True
3.0,0.2,8,0.2,22,COMP,2.9857,COMP,2.3025,2.9857,COMP,True
3.0,0.2,5,0.2,23,COMP,2.9982,COMP,2.3248,2.9846,COMP,True
3.0,0.2,5,0.2,24,COMP,2.9796,COMP,2.3098,2.982,COMP,True
3.0,0.2,8,0.1,25,COMP,2.9926,COMP,2.2988,2.9927,COMP,True
3.0,0.2,8,0.1,26,COMP,2.9252,COMP,2.2519,2.9944,COMP,True
3.0,0.5,8,0.2,27,COMP,2.9917,COMP,2.3071,2.9969,COMP,True
3.0,0.5,8,0.2,28,COMP,2.9987,COMP,2.3092,2.9984,COMP,True
3.0,0.5,5,0.2,29,COMP,2.9913,COMP,2.3084,2.996,COMP,True
3.0,0.5,5,0.2,30,COMP,2.9974,COMP,2.306,2.9837,COMP,True
3.0,0.2,5,0.1,31,COMP,2.7387,COMP,2.1195,2.9907,COMP,True
3.0,0.2,3,0.2,32,COMP,2.9539,COMP,2.2766,2.9539,COMP,True
3.0,0.2,3,0.2,33,COMP,2.9706,COMP,2.3185,2.9536,COMP,True
3.0,0.5,3,0.2,34,COMP,2.7357,COMP,2.1286,2.9482,COMP,True
3.0,0.5,3,0.2,35,COMP,2.5762,COMP,2.0133,2.9638,COMP,True
3.0,0.2,8,0.2,36,COMP,2.9964,COMP,2.2968,2.9905,COMP,True
3.0,0.5,5,0.2,37,COMP,2.9894,COMP,2.316,2.9881,COMP,True
3.0,0.2,5,0.2,38,COMP,2.9762,COMP,2.2902,2.9917,COMP,True
3.0,0.2,8,0.1,39,COMP,2.9943,COMP,2.3119,2.9928,COMP,True
3.0,0.5,8,0.2,40,COMP,2.9974,COMP,2.3125,2.9974,COMP,True
